abilnotu                 | ablution, abutilon
abeiortv                 | abortive, bravoite
abeilrst                 | abristle, libertas
acehirsu                 | acheirus, eucharis
acimnotu                 | aconitum, acontium
acinostu                 | acontius, anticous
achilort                 | acrolith, trochila
acimorst                 | acrotism, rotacism
aceglnoy                 | acylogen, cynogale
acdeilny                 | adenylic, lycaenid
adejrstu                 | adjuster, readjust
adeilmnu                 | adlumine, unmailed
adinostu                 | adustion, sudation
acginost                 | agnostic, coasting
acegirst                 | agrestic, ergastic
abelnorz                 | albronze, blazoner
acehilnp                 | alphenic, cephalin
aehlnops                 | alphonse, phenosal
aghilrty                 | alrighty, arightly
aceilrst                 | altrices, selictar
aegilrtu                 | alurgite, ligature
abeimrtv                 | ambivert, verbatim
aceimnst                 | amnestic, semantic
achimopr                 | amorphic, amphoric
aeimortz                 | amortize, atomizer
acenorst                 | ancestor, entosarc
acdehnor                 | anchored, rondache
adeglmno                 | angeldom, lodgeman
adiknory                 | ankyroid, dikaryon
aehnopty                 | anophyte, typhoean
abeilntu                 | antiblue, nubilate
aeilnopt                 | antilope, antipole
aeinqrtu                 | antiquer, quartine
adeioprt                 | apteroid, proteida
abcelrsu                 | arbuscle, buscarle
acehoprt                 | archpoet, protheca
aceginrt                 | argentic, citrange
aeglnort                 | argentol, gerontal
aegmnrtu                 | argentum, argument
acdeilrt                 | articled, lacertid
aegilprs                 | aspergil, splairge
aceimprs                 | aspermic, sapremic
adeiorst                 | asteroid, troiades
adeinost                 | astonied, sedation
aeflorst                 | astrofel, forestal
achinost                 | atchison, chitosan
aeilrstu                 | auletris, lisuarte
acdeilru                 | auricled, radicule
aceimstu                 | autecism, musicate
aciopstu                 | autopsic, captious
acehoruv                 | avoucher, reavouch
abcehlor                 | bachelor, crabhole
abcefikr                 | backfire, fireback
abckopst                 | backstop, stopback
abceinrt                 | bacterin, centibar
abceiltu                 | baculite, cubitale
abcdilou                 | baculoid, cuboidal
abdegino                 | badigeon, gabioned
abceilty                 | baetylic, biacetyl
abeilmnt                 | bailment, libament
abegilnr                 | balinger, ringable
abelrstu                 | baluster, rustable
abehinrs                 | banisher, rebanish
abijnost                 | banjoist, bostanji
abeinrty                 | barytine, bryanite
abekmorw                 | beamwork, bowmaker
abdeilms                 | bedismal, semibald
beghinrt                 | berthing, brighten
abdehosw                 | beshadow, bodewash
abeirsty                 | bestiary, sybarite
abelostw                 | bestowal, stowable
abgimosu                 | bigamous, subimago
abgilnst                 | blasting, stabling
abegilnt                 | bleating, tangible
beghilrt                 | blighter, therblig
abgilnot                 | bloating, obligant
abginost                 | boasting, bostangi
abehinot                 | boethian, nebaioth
abegmnoy                 | bogeyman, moneybag
abdehlot                 | bolthead, theobald
befhinos                 | bonefish, fishbone
abinorty                 | bonitary, trainboy
bgilnory                 | boringly, goblinry
abgilnrw                 | brawling, warbling
abdenrtu                 | breadnut, turbaned
abekortu                 | breakout, outbreak
behlrstu                 | brushlet, shrublet
aceilprs                 | calipers, spiracle
acilorst                 | calorist, coralist
aceilorz                 | calorize, coalizer
acehilms                 | camelish, schalmei
acehimpr                 | camphire, hemicarp
aceinost                 | canoeist, cotesian
acenopst                 | capstone, opencast
acelprsu                 | capsuler, specular
acenorsu                 | carneous, nacreous
achimrst                 | carsmith, chartism
acimnost                 | catonism, monastic
ceinosty                 | cenosity, cytosine
acenrtuy                 | centaury, cyanuret
cdeinort                 | centroid, doctrine
aceimrtu                 | ceratium, muricate
acehilnt                 | chainlet, ethnical
acehiprt                 | chapiter, phreatic
acghinrt                 | charting, ratching
abcehlsu                 | chasuble, subchela
